Size,PhaseName,MetricName,Sequence,MetricValue,Scenario,CaseName,RunIndex,Tool,Iteration
1,Read,Time,1,2359951810,User,ConnectedSegments,1,EMFIncQuery,1
1,Check,Time,2,22716,User,ConnectedSegments,1,EMFIncQuery,1
1,LHS,Time,3,5819684,User,ConnectedSegments,1,EMFIncQuery,1
1,RHS,Time,4,23857771,User,ConnectedSegments,1,EMFIncQuery,1
1,ReCheck,Time,5,2191,User,ConnectedSegments,1,EMFIncQuery,1
1,LHS,Time,6,3023526,User,ConnectedSegments,1,EMFIncQuery,2
1,RHS,Time,7,13563124,User,ConnectedSegments,1,EMFIncQuery,2
1,ReCheck,Time,8,2195,User,ConnectedSegments,1,EMFIncQuery,2
1,LHS,Time,9,3047962,User,ConnectedSegments,1,EMFIncQuery,3
1,RHS,Time,10,15241151,User,ConnectedSegments,1,EMFIncQuery,3
1,ReCheck,Time,11,2399,User,ConnectedSegments,1,EMFIncQuery,3
1,LHS,Time,12,5826282,User,ConnectedSegments,1,EMFIncQuery,4
1,RHS,Time,13,22135585,User,ConnectedSegments,1,EMFIncQuery,4
1,ReCheck,Time,14,2089,User,ConnectedSegments,1,EMFIncQuery,4
1,LHS,Time,15,3877236,User,ConnectedSegments,1,EMFIncQuery,5
1,RHS,Time,16,15114701,User,ConnectedSegments,1,EMFIncQuery,5
1,ReCheck,Time,17,2117,User,ConnectedSegments,1,EMFIncQuery,5
1,LHS,Time,18,3521943,User,ConnectedSegments,1,EMFIncQuery,6
1,RHS,Time,19,7473053,User,ConnectedSegments,1,EMFIncQuery,6
1,ReCheck,Time,20,2131,User,ConnectedSegments,1,EMFIncQuery,6
1,LHS,Time,21,3113064,User,ConnectedSegments,1,EMFIncQuery,7
1,RHS,Time,22,5725320,User,ConnectedSegments,1,EMFIncQuery,7
1,ReCheck,Time,23,2233,User,ConnectedSegments,1,EMFIncQuery,7
1,LHS,Time,24,3034352,User,ConnectedSegments,1,EMFIncQuery,8
1,RHS,Time,25,5376239,User,ConnectedSegments,1,EMFIncQuery,8
1,ReCheck,Time,26,2149,User,ConnectedSegments,1,EMFIncQuery,8
1,LHS,Time,27,3049038,User,ConnectedSegments,1,EMFIncQuery,9
1,RHS,Time,28,6165936,User,ConnectedSegments,1,EMFIncQuery,9
1,ReCheck,Time,29,1916,User,ConnectedSegments,1,EMFIncQuery,9
1,LHS,Time,30,3143809,User,ConnectedSegments,1,EMFIncQuery,10
1,RHS,Time,31,5700593,User,ConnectedSegments,1,EMFIncQuery,10
1,ReCheck,Time,32,2780,User,ConnectedSegments,1,EMFIncQuery,10
1,Read,Time,1,1027283612,Repair,ConnectedSegments,1,Sesame,1
1,Check,Time,2,617954823,Repair,ConnectedSegments,1,Sesame,1
1,LHS,Time,3,10938,Repair,ConnectedSegments,1,Sesame,1
1,RHS,Time,4,5327650,Repair,ConnectedSegments,1,Sesame,1
1,ReCheck,Time,5,262465870,Repair,ConnectedSegments,1,Sesame,1
1,Read,Time,1,5893136582,User,PosLength,1,Neo4j,1
1,Check,Time,2,1654214330,User,PosLength,1,Neo4j,1
1,LHS,Time,3,21594087,User,PosLength,1,Neo4j,1
1,RHS,Time,4,14971825,User,PosLength,1,Neo4j,1
1,ReCheck,Time,5,562375066,User,PosLength,1,Neo4j,1
1,LHS,Time,6,15411911,User,PosLength,1,Neo4j,2
1,RHS,Time,7,11037716,User,PosLength,1,Neo4j,2
