Size,PhaseName,MetricName,Sequence,MetricValue,Scenario,CaseName,RunIndex,Tool,Iteration
4,Read,Time,1,2043970731,User,RouteSensor,2,Sesame,1
4,Check,Time,2,323162184,User,RouteSensor,2,Sesame,1
4,LHS,Time,3,1548638,User,RouteSensor,2,Sesame,1
4,RHS,Time,4,3578289,User,RouteSensor,2,Sesame,1
4,ReCheck,Time,5,118763645,User,RouteSensor,2,Sesame,1
4,LHS,Time,6,315212,User,RouteSensor,2,Sesame,2
4,RHS,Time,7,2145630,User,RouteSensor,2,Sesame,2
4,ReCheck,Time,8,77003450,User,RouteSensor,2,Sesame,2
4,LHS,Time,9,304784,User,RouteSensor,2,Sesame,3
4,RHS,Time,10,2531952,User,RouteSensor,2,Sesame,3
4,ReCheck,Time,11,46335672,User,RouteSensor,2,Sesame,3
4,LHS,Time,12,307437,User,RouteSensor,2,Sesame,4
4,RHS,Time,13,2650563,User,RouteSensor,2,Sesame,4
4,ReCheck,Time,14,40122213,User,RouteSensor,2,Sesame,4
4,LHS,Time,15,317651,User,RouteSensor,2,Sesame,5
4,RHS,Time,16,2168241,User,RouteSensor,2,Sesame,5
4,ReCheck,Time,17,35495611,User,RouteSensor,2,Sesame,5
2,Read,Time,1,1558070474,Repair,PosLength,1,Sesame,1
2,Check,Time,2,490991946,Repair,PosLength,1,Sesame,1
2,LHS,Time,3,19696,Repair,PosLength,1,Sesame,1
2,RHS,Time,4,20739872,Repair,PosLength,1,Sesame,1
2,ReCheck,Time,5,156918949,Repair,PosLength,1,Sesame,1
8,Read,Time,1,3206376046,Repair,ConnectedSegments,1,Sesame,1
8,Check,Time,2,4015394624,Repair,ConnectedSegments,1,Sesame,1
8,LHS,Time,3,19885,Repair,ConnectedSegments,1,Sesame,1
8,RHS,Time,4,85938191,Repair,ConnectedSegments,1,Sesame,1
8,ReCheck,Time,5,3508425411,Repair,ConnectedSegments,1,Sesame,1
4,Read,Time,1,1939576969,User,PosLength,3,Sesame,1
4,Check,Time,2,580836321,User,PosLength,3,Sesame,1
4,LHS,Time,3,38393081,User,PosLength,3,Sesame,1
4,RHS,Time,4,26520143,User,PosLength,3,Sesame,1
4,ReCheck,Time,5,195989700,User,PosLength,3,Sesame,1
4,LHS,Time,6,9869898,User,PosLength,3,Sesame,2
4,RHS,Time,7,2679106,User,PosLength,3,Sesame,2
4,ReCheck,Time,8,105351478,User,PosLength,3,Sesame,2
4,LHS,Time,9,5424166,User,PosLength,3,Sesame,3
4,RHS,Time,10,14131279,User,PosLength,3,Sesame,3
4,ReCheck,Time,11,73914175,User,PosLength,3,Sesame,3
4,LHS,Time,12,5330078,User,PosLength,3,Sesame,4
4,RHS,Time,13,14332879,User,PosLength,3,Sesame,4
4,ReCheck,Time,14,68199456,User,PosLength,3,Sesame,4
4,LHS,Time,15,5374220,User,PosLength,3,Sesame,5
4,RHS,Time,16,10901856,User,PosLength,3,Sesame,5
4,ReCheck,Time,17,73035110,User,PosLength,3,Sesame,5
1,Read,Time,1,1124754105,User,RouteSensor,2,Sesame,1
1,Check,Time,2,213068552,User,RouteSensor,2,Sesame,1
1,LHS,Time,3,1349275,User,RouteSensor,2,Sesame,1
1,RHS,Time,4,4295748,User,RouteSensor,2,Sesame,1
1,ReCheck,Time,5,52915498,User,RouteSensor,2,Sesame,1
1,LHS,Time,6,124716,User,RouteSensor,2,Sesame,2
1,RHS,Time,7,2903281,User,RouteSensor,2,Sesame,2
1,ReCheck,Time,8,41486231,User,RouteSensor,2,Sesame,2
1,LHS,Time,9,117203,User,RouteSensor,2,Sesame,3
1,RHS,Time,10,2905449,User,RouteSensor,2,Sesame,3
1,ReCheck,Time,11,36487103,User,RouteSensor,2,Sesame,3
1,LHS,Time,12,123061,User,RouteSensor,2,Sesame,4
1,RHS,Time,13,2726042,User,RouteSensor,2,Sesame,4
1,ReCheck,Time,14,35498682,User,RouteSensor,2,Sesame,4
1,LHS,Time,15,132797,User,RouteSensor,2,Sesame,5
1,RHS,Time,16,2715152,User,RouteSensor,2,Sesame,5
1,ReCheck,Time,17,34132534,User,RouteSensor,2,Sesame,5
4,Read,Time,1,1926415194,User,ConnectedSegments,1,Sesame,1
4,Check,Time,2,2092747142,User,ConnectedSegments,1,Sesame,1
4,LHS,Time,3,26243286,User,ConnectedSegments,1,Sesame,1
4,RHS,Time,4,77594001,User,ConnectedSegments,1,Sesame,1
4,ReCheck,Time,5,1703752158,User,ConnectedSegments,1,Sesame,1
4,LHS,Time,6,8853501,User,ConnectedSegments,1,Sesame,2
4,RHS,Time,7,27476537,User,ConnectedSegments,1,Sesame,2
4,ReCheck,Time,8,1575437911,User,ConnectedSegments,1,Sesame,2
4,LHS,Time,9,3694169,User,ConnectedSegments,1,Sesame,3
4,RHS,Time,10,4785862,User,ConnectedSegments,1,Sesame,3
4,ReCheck,Time,11,1568582608,User,ConnectedSegments,1,Sesame,3
4,LHS,Time,12,3673798,User,ConnectedSegments,1,Sesame,4
4,RHS,Time,13,26145358,User,ConnectedSegments,1,Sesame,4
4,ReCheck,Time,14,1541603075,User,ConnectedSegments,1,Sesame,4
4,LHS,Time,15,3658664,User,ConnectedSegments,1,Sesame,5
4,RHS,Time,16,21175015,User,ConnectedSegments,1,Sesame,5
4,ReCheck,Time,17,1534777156,User,ConnectedSegments,1,Sesame,5
1,Read,Time,1,5633509129,User,RouteSensor,1,Neo4j,1
1,Check,Time,2,1914827118,User,RouteSensor,1,Neo4j,1
1,LHS,Time,3,9130410,User,RouteSensor,1,Neo4j,1
1,RHS,Time,4,41338890,User,RouteSensor,1,Neo4j,1
1,ReCheck,Time,5,352155233,User,RouteSensor,1,Neo4j,1
1,LHS,Time,6,2174953,User,RouteSensor,1,Neo4j,2
1,RHS,Time,7,36452748,User,RouteSensor,1,Neo4j,2
1,ReCheck,Time,8,221119437,User,RouteSensor,1,Neo4j,2
1,LHS,Time,9,2113113,User,RouteSensor,1,Neo4j,3
1,RHS,Time,10,24124615,User,RouteSensor,1,Neo4j,3
1,ReCheck,Time,11,201553393,User,RouteSensor,1,Neo4j,3
1,LHS,Time,12,2021221,User,RouteSensor,1,Neo4j,4
1,RHS,Time,13,24257721,User,RouteSensor,1,Neo4j,4
1,ReCheck,Time,14,174994593,User,RouteSensor,1,Neo4j,4
1,LHS,Time,15,2007619,User,RouteSensor,1,Neo4j,5
1,RHS,Time,16,27283213,User,RouteSensor,1,Neo4j,5
1,ReCheck,Time,17,166072895,User,RouteSensor,1,Neo4j,5
8,Read,Time,1,5425683378,Repair,ConnectedSegments,3,EMFIncQuery,1
8,Check,Time,2,34460,Repair,ConnectedSegments,3,EMFIncQuery,1
8,LHS,Time,3,9314,Repair,ConnectedSegments,3,EMFIncQuery,1
8,RHS,Time,4,10928569,Repair,ConnectedSegments,3,EMFIncQuery,1
8,ReCheck,Time,5,2836,Repair,ConnectedSegments,3,EMFIncQuery,1
1,Read,Time,1,2336809230,User,ConnectedSegments,1,EMFIncQuery,1
1,Check,Time,2,34322,User,ConnectedSegments,1,EMFIncQuery,1
1,LHS,Time,3,5500815,User,ConnectedSegments,1,EMFIncQuery,1
1,RHS,Time,4,6008602,User,ConnectedSegments,1,EMFIncQuery,1
1,ReCheck,Time,5,2475,User,ConnectedSegments,1,EMFIncQuery,1
1,LHS,Time,6,4914536,User,ConnectedSegments,1,EMFIncQuery,2
1,RHS,Time,7,4261272,User,ConnectedSegments,1,EMFIncQuery,2
1,ReCheck,Time,8,1985,User,ConnectedSegments,1,EMFIncQuery,2
1,LHS,Time,9,4812250,User,ConnectedSegments,1,EMFIncQuery,3
1,RHS,Time,10,4271230,User,ConnectedSegments,1,EMFIncQuery,3
1,ReCheck,Time,11,2021,User,ConnectedSegments,1,EMFIncQuery,3
1,LHS,Time,12,4937841,User,ConnectedSegments,1,EMFIncQuery,4
1,RHS,Time,13,4718773,User,ConnectedSegments,1,EMFIncQuery,4
1,ReCheck,Time,14,2117,User,ConnectedSegments,1,EMFIncQuery,4
1,LHS,Time,15,4938431,User,ConnectedSegments,1,EMFIncQuery,5
1,RHS,Time,16,4662559,User,ConnectedSegments,1,EMFIncQuery,5
1,ReCheck,Time,17,2204,User,ConnectedSegments,1,EMFIncQuery,5
2,Read,Time,1,7328632210,Repair,RouteSensor,1,Neo4j,1
2,Check,Time,2,2098244021,Repair,RouteSensor,1,Neo4j,1
2,LHS,Time,3,85937,Repair,RouteSensor,1,Neo4j,1
2,RHS,Time,4,34016398,Repair,RouteSensor,1,Neo4j,1
2,ReCheck,Time,5,400499914,Repair,RouteSensor,1,Neo4j,1
4,Read,Time,1,8409641099,User,RouteSensor,2,Neo4j,1
4,Check,Time,2,2509603205,User,RouteSensor,2,Neo4j,1
4,LHS,Time,3,14557216,User,RouteSensor,2,Neo4j,1
4,RHS,Time,4,36741120,User,RouteSensor,2,Neo4j,1
4,ReCheck,Time,5,561986603,User,RouteSensor,2,Neo4j,1
4,LHS,Time,6,5390671,User,RouteSensor,2,Neo4j,2
4,RHS,Time,7,28253099,User,RouteSensor,2,Neo4j,2
4,ReCheck,Time,8,389093417,User,RouteSensor,2,Neo4j,2
4,LHS,Time,9,5116069,User,RouteSensor,2,Neo4j,3
4,RHS,Time,10,25844723,User,RouteSensor,2,Neo4j,3
4,ReCheck,Time,11,316871797,User,RouteSensor,2,Neo4j,3
4,LHS,Time,12,5039982,User,RouteSensor,2,Neo4j,4
4,RHS,Time,13,29294594,User,RouteSensor,2,Neo4j,4
4,ReCheck,Time,14,248638517,User,RouteSensor,2,Neo4j,4
4,LHS,Time,15,4605950,User,RouteSensor,2,Neo4j,5
4,RHS,Time,16,26604001,User,RouteSensor,2,Neo4j,5
4,ReCheck,Time,17,201412548,User,RouteSensor,2,Neo4j,5
8,Read,Time,1,12653531119,User,ConnectedSegments,2,Neo4j,1
8,Check,Time,2,8032393544,User,ConnectedSegments,2,Neo4j,1
8,LHS,Time,3,86376973,User,ConnectedSegments,2,Neo4j,1
8,RHS,Time,4,62217314,User,ConnectedSegments,2,Neo4j,1
8,ReCheck,Time,5,3424850911,User,ConnectedSegments,2,Neo4j,1
8,LHS,Time,6,52335163,User,ConnectedSegments,2,Neo4j,2
8,RHS,Time,7,51306938,User,ConnectedSegments,2,Neo4j,2
8,ReCheck,Time,8,2615194037,User,ConnectedSegments,2,Neo4j,2
8,LHS,Time,9,27936444,User,ConnectedSegments,2,Neo4j,3
